                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76857,                 2.5141,                 1.4179,                0.00333,                      1,                0.14832,                0.04693,                0.94322,                 3.1044,                0.97726,                      0,                      0,                      0
                      2,                0.81599,                 2.5073,                 1.3536,                0.00333,                      1,                0.18752,                0.05744,                0.82239,                  3.045,                0.90078,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                0.83867,                 2.5496,                 1.3457,                0.00333,                      1,                0.19365,                0.08719,                0.66378,                 2.9852,                0.79543,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                0.55878,                 2.5031,                 1.1682,                0.00333,                      1,                0.22879,                0.15325,                0.49158,                 2.9231,                0.65874,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                0.42567,                   2.33,                 1.1363,                0.00333,                      1,                 0.3287,                0.22973,                0.38549,                 2.8881,                 0.5869,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                0.43697,                 2.3125,                 1.0616,                0.00333,                      1,                0.49886,                0.37403,                0.31208,                  2.867,                 0.5068,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                0.51873,                  2.285,                 1.2818,                0.00333,                      1,                0.73935,                0.64392,                0.25674,                  2.842,                0.44199,             0.00010574,             0.00010574,             0.00010574
                      8,                0.32311,                 2.1253,                 1.0478,                0.00333,                      1,                0.97682,                0.90181,                0.20349,                  2.824,                0.37323,              0.0001206,              0.0001206,              0.0001206
                      9,                0.29102,                 2.0457,                 1.0843,                0.00333,                      1,                  0.995,                0.94291,                0.16339,                 2.7912,                 0.3022,             0.00013466,             0.00013466,             0.00013466
                     10,                0.23936,                 1.9135,                  1.013,                0.00333,                      1,                  0.995,                0.92546,                0.14708,                 2.7616,                0.26595,             0.00014792,             0.00014792,             0.00014792
                     11,                0.24586,                 1.7812,                 1.0411,                0.00333,                      1,                  0.995,                 0.9246,                0.13948,                 2.7296,                0.23178,              0.0001604,              0.0001604,              0.0001604
                     12,                0.24597,                 1.4663,                0.98675,                0.00333,                      1,                0.92227,                0.83735,                0.13978,                 2.6938,                0.21606,             0.00017208,             0.00017208,             0.00017208
                     13,                0.20592,                 1.3782,                0.98804,                0.00333,                      1,                0.85258,                0.72919,                0.15889,                 2.6651,                0.23469,             0.00018298,             0.00018298,             0.00018298
                     14,                0.22666,                  1.272,                0.95626,                0.00333,                      1,                    0.8,                0.70171,                0.18768,                  2.635,                 0.2703,             0.00019308,             0.00019308,             0.00019308
                     15,                0.19753,                 1.1086,                0.96718,                0.00333,                      1,                 0.7039,                0.61689,                0.24866,                 2.6082,                0.33474,             0.00020238,             0.00020238,             0.00020238
                     16,                0.23682,                  1.126,                0.93376,                0.00333,                      1,                0.75015,                0.61184,                0.25355,                 2.5971,                0.35988,              0.0002109,              0.0002109,              0.0002109
                     17,                0.26523,                 1.1787,                0.98318,                0.00333,                      1,                0.77525,                0.58403,                0.27249,                 2.6381,                0.41371,             0.00021862,             0.00021862,             0.00021862
                     18,                0.23169,                0.92019,                0.96449,                0.00333,                      1,                0.77525,                0.58403,                0.27249,                 2.6381,                0.41371,             0.00022556,             0.00022556,             0.00022556
                     19,                0.21642,                0.86202,                 0.9714,                0.00333,                      1,                 0.8169,                0.66259,                0.27259,                 2.6237,                0.41513,              0.0002317,              0.0002317,              0.0002317
                     20,                0.22773,                0.81008,                0.97802,                0.00333,                      1,                 0.8169,                0.66259,                0.27259,                 2.6237,                0.41513,             0.00023704,             0.00023704,             0.00023704
                     21,                0.17346,                 0.8226,                0.95677,                0.00333,                      1,                0.98591,                0.85701,                 0.2365,                 2.5815,                 0.3827,              0.0002416,              0.0002416,              0.0002416
                     22,                0.16096,                0.75392,                0.94901,                0.00333,                      1,                0.98591,                0.85701,                 0.2365,                 2.5815,                 0.3827,             0.00024536,             0.00024536,             0.00024536
                     23,                0.24869,                0.81381,                  1.063,                0.00333,                      1,                0.97682,                0.97682,                0.22742,                 2.5253,                0.37134,             0.00024834,             0.00024834,             0.00024834
                     24,                0.21801,                0.79315,                0.91696,                0.00333,                      1,                0.97682,                0.97682,                0.22742,                 2.5253,                0.37134,             0.00025052,             0.00025052,             0.00025052
                     25,                0.21358,                0.86392,                0.94587,                0.92967,                      1,                  0.995,                0.97902,                0.23053,                 2.4783,                0.37078,              0.0002519,              0.0002519,              0.0002519
                     26,                0.20881,                0.93467,                0.95999,                0.92967,                      1,                  0.995,                0.97902,                0.23053,                 2.4783,                0.37078,              0.0002525,              0.0002525,              0.0002525
                     27,                 0.2123,                0.74803,                0.93988,                      1,                0.96285,                  0.995,                0.94979,                0.27435,                 2.4432,                0.39514,              0.0002523,              0.0002523,              0.0002523
                     28,                0.28237,                0.75799,                0.95689,                      1,                0.96285,                  0.995,                0.94979,                0.27435,                 2.4432,                0.39514,             0.00025132,             0.00025132,             0.00025132
                     29,                0.26153,                0.88967,                 0.9521,                0.96504,                      1,                  0.995,                0.89423,                0.39335,                 2.3844,                0.48825,             0.00024954,             0.00024954,             0.00024954
                     30,                0.21845,                0.75738,                 1.0032,                0.96504,                      1,                  0.995,                0.89423,                0.39335,                 2.3844,                0.48825,             0.00024696,             0.00024696,             0.00024696
                     31,                0.25022,                0.69067,                0.95691,                0.95309,                      1,                  0.995,                0.77849,                0.56281,                 2.3689,                0.63056,              0.0002436,              0.0002436,              0.0002436
                     32,                0.20009,                0.64072,                0.93743,                0.95309,                      1,                  0.995,                0.77849,                0.56281,                 2.3689,                0.63056,             0.00023944,             0.00023944,             0.00023944
                     33,                0.20544,                 0.6522,                0.92637,                0.97988,                      1,                  0.995,                0.76084,                0.60184,                 2.4041,                0.74166,              0.0002345,              0.0002345,              0.0002345
                     34,                0.24463,                0.77505,                 1.0033,                0.97988,                      1,                  0.995,                0.76084,                0.60184,                 2.4041,                0.74166,             0.00022876,             0.00022876,             0.00022876
                     35,                 0.2156,                0.68629,                0.95031,                0.87833,                    0.9,                0.97192,                0.64751,                0.74463,                 2.3234,                0.87118,             0.00022222,             0.00022222,             0.00022222
                     36,                0.16891,                0.68043,                0.93669,                0.87833,                    0.9,                0.97192,                0.64751,                0.74463,                 2.3234,                0.87118,              0.0002149,              0.0002149,              0.0002149
                     37,                0.19009,                 0.6834,                0.90642,                0.88531,                    0.9,                0.94833,                0.67723,                0.80482,                 2.2845,                0.99482,             0.00020678,             0.00020678,             0.00020678
                     38,                0.21036,                0.68783,                0.95949,                0.88531,                    0.9,                0.94833,                0.67723,                0.80482,                 2.2845,                0.99482,             0.00019788,             0.00019788,             0.00019788
                     39,                0.18969,                0.60695,                0.96266,                0.75371,                0.91928,                0.93556,                0.71315,                0.86574,                 2.2116,                  1.085,             0.00018818,             0.00018818,             0.00018818
                     40,                 0.2428,                 1.0037,                0.97184,                0.75371,                0.91928,                0.93556,                0.71315,                0.86574,                 2.2116,                  1.085,             0.00017768,             0.00017768,             0.00017768
                     41,                0.54539,                 3.3031,                 1.3243,                0.75794,                      1,                0.93556,                0.79227,                0.68039,                 2.1206,                0.87159,              0.0001664,              0.0001664,              0.0001664
                     42,                0.29099,                 2.3597,                 1.0141,                0.75794,                      1,                0.93556,                0.79227,                0.68039,                 2.1206,                0.87159,             0.00015432,             0.00015432,             0.00015432
