                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75332,                 2.8816,                 1.3503,                0.00384,                      1,                0.10404,                  0.065,                0.75618,                  3.409,                0.87224,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                0.74457,                 2.8838,                 1.2828,                0.00388,                      1,                0.17924,                0.12011,                 0.4552,                 3.2795,                0.64399,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                0.54802,                 2.7835,                 1.1439,                0.00388,                      1,                0.43188,                0.38624,                0.29541,                 3.2255,                0.46164,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                0.35175,                 2.6394,                 1.0832,                0.00378,                      1,                0.58434,                0.53992,                0.19234,                 3.1863,                0.32329,             0.00010976,             0.00010976,             0.00010976
                      5,                0.25452,                 2.5904,                 1.0601,                0.00365,                      1,                0.70098,                0.69891,                0.12294,                 3.1474,                0.20971,             0.00013815,             0.00013815,             0.00013815
                      6,                0.27916,                 2.2882,                0.99391,                0.00349,                      1,                0.74487,                0.73262,                0.11274,                 3.1103,                0.17684,             0.00016522,             0.00016522,             0.00016522
                      7,                 0.1974,                 1.9686,                0.96076,                0.00337,                      1,                0.70052,                0.64461,                0.13045,                 3.0631,                 0.1965,             0.00019096,             0.00019096,             0.00019096
                      8,                0.22538,                 1.7059,                0.92583,                0.00334,                      1,                0.85857,                 0.7071,                0.24731,                 3.0301,                0.30072,             0.00021539,             0.00021539,             0.00021539
                      9,                0.25314,                 1.5906,                0.99458,                0.00335,                      1,                0.90432,                  0.696,                0.35111,                 3.0067,                0.41903,              0.0002385,              0.0002385,              0.0002385
                     10,                0.24496,                 1.3325,                 1.0185,                0.00336,                      1,                0.91465,                0.78671,                0.26113,                 2.9459,                0.29451,             0.00026029,             0.00026029,             0.00026029
                     11,                0.23744,                 1.2982,                0.96475,                0.00335,                      1,                0.91602,                0.89005,                0.21002,                 2.9088,                0.28382,             0.00028076,             0.00028076,             0.00028076
                     12,                0.21287,                 1.1876,                0.97266,                0.00335,                      1,                0.93394,                0.93394,                 0.2039,                 2.8924,                0.33455,              0.0002999,              0.0002999,              0.0002999
                     13,                0.19896,                 1.2503,                0.97637,                0.00335,                      1,                0.96073,                0.96073,                0.24124,                 2.8478,                0.40157,             0.00031773,             0.00031773,             0.00031773
                     14,                0.21897,                 0.9468,                0.99287,                0.00335,                      1,                0.98667,                0.98667,                 0.2322,                 2.7704,                0.37586,             0.00033424,             0.00033424,             0.00033424
                     15,                0.25665,                0.99044,                 1.0195,                0.00403,                      1,                  0.995,                  0.995,                0.25458,                 2.6726,                0.37953,             0.00034942,             0.00034942,             0.00034942
                     16,                0.21118,                0.83779,                0.94459,                0.97457,                0.94573,                  0.995,                  0.995,                 0.2635,                 2.5305,                0.39076,             0.00036329,             0.00036329,             0.00036329
                     17,                0.20795,                0.86225,                0.96397,                0.98903,                0.99778,                  0.995,                  0.995,                0.29718,                 2.3507,                0.42303,             0.00037584,             0.00037584,             0.00037584
                     18,                0.20562,                0.72844,                0.95662,                0.95115,                0.96847,                  0.995,                0.98553,                0.31652,                 2.2446,                0.44758,             0.00038706,             0.00038706,             0.00038706
                     19,                0.19424,                0.82244,                0.95785,                 0.8545,                0.96394,                  0.995,                0.97607,                0.31663,                 2.0968,                 0.4448,             0.00039697,             0.00039697,             0.00039697
                     20,                0.23731,                 0.8558,                0.95038,                0.89198,                0.96602,                  0.995,                0.95758,                0.33571,                 1.8465,                0.43264,             0.00040555,             0.00040555,             0.00040555
                     21,                0.22782,                0.73486,                0.82236,                0.89172,                0.98847,                  0.995,                0.94038,                0.32887,                 1.7001,                0.44986,             0.00041282,             0.00041282,             0.00041282
